,Open,High,Low,Close,Volume,rsi14,rsi20,sma20,sma30,sma50,Date,previous_rsi,next_rsi,rsi_touch_point,rsi_sell,rsi_buy
2014-03-20 05:30:00,1.38326,1.38337,1.38305,1.38316,855.330000519753,49.393610031349155,43.59948178767921,1.382561500000001,1.3825590000000048,1.384667599999999,735312.2291666666,50.738858427438316,49.11314789286791,0,0,0
2014-03-20 05:45:00,1.38315,1.38324,1.38305,1.38314,570.609998941422,49.11314789286791,43.45045561802231,1.3826060000000013,1.3825606666666712,1.384512799999999,735312.2395833334,49.393610031349155,48.81465200436452,0,0,0
2014-03-20 06:00:00,1.38313,1.3833,1.38307,1.3831200000000001,440.880001783371,48.81465200436452,43.29468262417148,1.3826390000000013,1.382567666666671,1.3843521999999993,735312.25,49.11314789286791,48.814652004364525,0,0,0
2014-03-20 06:15:00,1.3831200000000001,1.3832200000000001,1.38309,1.3831200000000001,540.490002989769,48.814652004364525,43.29468262417148,1.3826745000000014,1.3825640000000046,1.3841967999999993,735312.2604166666,48.81465200436452,48.47297978612817,0,0,0
2014-03-20 06:30:00,1.38313,1.3832200000000001,1.38305,1.3831,484.670004725456,48.47297978612817,43.12338023614447,1.3827185000000013,1.3825720000000044,1.3840393999999996,735312.2708333334,48.814652004364525,49.426020146288344,0,0,0
2014-03-20 06:45:00,1.3831,1.38321,1.3831,1.38315,317.94000184536,49.426020146288344,43.7094919867783,1.382785500000001,1.382584666666671,1.3838833999999993,735312.28125,48.47297978612817,57.40190660843526,0,0,0
2014-03-20 07:00:00,1.38315,1.38364,1.38315,1.38362,551.060004115105,57.40190660843526,48.91805936753352,1.3828555000000011,1.3826190000000045,1.3837257999999995,735312.2916666666,49.426020146288344,52.99717722180651,0,0,0
2014-03-20 07:15:00,1.38363,1.38382,1.38315,1.38339,1239.5000077486,52.99717722180651,46.692512545399445,1.382909000000001,1.3826770000000044,1.3835611999999995,735312.3020833334,57.40190660843526,56.584896377045055,0,0,0
2014-03-20 07:30:00,1.3833799999999998,1.38364,1.38325,1.38362,679.890005588531,56.584896377045055,49.12873235563209,1.3829875000000011,1.3827243333333379,1.3833985999999994,735312.3125,52.99717722180651,50.134445623183375,0,0,0
2014-03-20 07:45:00,1.38362,1.38368,1.38325,1.38326,718.1000020503999,50.134445623183375,45.68851148990508,1.3830330000000013,1.3827623333333379,1.3832287999999995,735312.3229166666,56.584896377045055,61.44232186167571,0,0,0
