Date,Timestamp,Open,High,Low,Close,Volume
20141208,15:00:00,121.108,121.122,120.765,120.814,6649.12000691891
20141208,16:00:00,120.812,121.08,120.67,120.962,7291.57001292706
20141208,17:00:00,120.964,121.001,120.746,120.92,6704.62001347542
20141208,18:00:00,120.921,120.946,120.769,120.893,4950.58000993729
20141208,19:00:00,120.897,120.912,120.713,120.744,5076.95000100136
20141208,20:00:00,120.744,120.775,120.428,120.442,4149.98000371456
20141208,21:00:00,120.443,120.592,120.203,120.485,5465.11000615358
20141208,22:00:00,120.49,120.684,120.448,120.661,2837.81000030041
20141208,23:00:00,120.662,120.805,120.653,120.684,1829.07000136375
20141209,00:00:00,120.695,120.723,120.5,120.539,2861.42000358552
20141209,01:00:00,120.538,120.735,120.52,120.645,3197.51000481844
20141209,02:00:00,120.643,121.002,120.632,120.957,5555.09000837803
20141209,03:00:00,120.957,120.959,120.707,120.766,5689.38000822067
20141209,04:00:00,120.771,120.828,120.693,120.737,3515.57000374794
20141209,05:00:00,120.737,120.905,120.259,120.336,6613.24001145363
20141209,06:00:00,120.335,120.401,120.059,120.178,8223.02001833916
20141209,07:00:00,120.177,120.28,120.062,120.104,5376.91000497341
20141209,08:00:00,120.104,120.154,119.767,119.919,9123.62002456188
20141209,09:00:00,119.918,120.109,119.618,119.673,7471.25002300739
20141209,10:00:00,119.672,119.871,119.534,119.743,9353.81002175808
20141209,11:00:00,119.742,120.034,119.655,120.016,6848.51001083851
20141209,12:00:00,120.015,120.121,119.843,119.929,5784.88000976294
20141209,13:00:00,119.921,120.119,119.891,120.073,4617.28000807762
20141209,14:00:00,120.073,120.073,119.651,119.683,7268.47001512349
20141209,15:00:00,119.683,119.749,119.434,119.572,8087.71002388
20141209,16:00:00,119.572,119.595,119.049,119.181,10811.4100274816
20141209,17:00:00,119.18,119.28,117.943,118.97,19887.9400580227
20141209,18:00:00,118.969,119.196,118.76,118.874,9717.32002997398
20141209,19:00:00,118.874,119.379,118.844,119.301,6180.50001120567
20141209,20:00:00,119.303,119.42,119.216,119.342,3925.83001232147
20141209,21:00:00,119.343,119.531,119.327,119.473,4249.92001354694
20141209,22:00:00,119.474,119.789,119.473,119.603,5125.1400102973
20141209,23:00:00,119.602,119.712,119.552,119.69,2605.44000589848
20141210,00:00:00,119.691,119.692,119.464,119.544,2297.39000916481
20141210,01:00:00,119.548,119.681,119.178,119.352,6294.31001579762
20141210,02:00:00,119.351,119.575,119.28,119.481,9037.88001430035
20141210,03:00:00,119.482,119.907,119.44,119.82,7941.76001548767
